2416722B,90EF222B,2024-06-15,22B,00000050F921584B,200 
2416722C,90EF222C,2024-06-15,22C,00000050F921584C,200 
2416722D,90EF222D,2024-06-15,22D,00000050F921584D,200 
2416722E,90EF222E,2024-06-15,22E,00000050F921584E,200 
2416722F,90EF222F,2024-06-15,22F,00000050F921584F,200 
24167230,90EF2230,2024-06-15,230,00000050F9215850,200 
24167231,90EF2231,2024-06-15,231,00000050F9215851,200 
24167232,90EF2232,2024-06-15,232,00000050F9215852,200 
24167233,90EF2233,2024-06-15,233,00000050F9215853,200 
24167234,90EF2234,2024-06-15,234,00000050F9215854,200 
24167235,90EF2235,2024-06-15,235,00000050F9215855,200 
24167236,90EF2236,2024-06-15,236,00000050F9215856,200 
24167237,90EF2237,2024-06-15,237,00000050F9215857,200 
24167238,90EF2238,2024-06-15,238,00000050F9215858,200 
24167239,90EF2239,2024-06-15,239,00000050F9215859,200 
2416723A,90EF223A,2024-06-15,23A,00000050F921585A,200 
2416723B,90EF223B,2024-06-15,23B,00000050F921585B,200 
2416723C,90EF223C,2024-06-15,23C,00000050F921585C,200 
2416723D,90EF223D,2024-06-15,23D,00000050F921585D,200 
2416723E,90EF223E,2024-06-15,23E,00000050F921585E,200 
2416723F,90EF223F,2024-06-15,23F,00000050F921585F,200 
24167240,90EF2240,2024-06-15,240,00000050F9215860,200 
24167241,90EF2241,2024-06-15,241,00000050F9215861,200 
24167242,90EF2242,2024-06-15,242,00000050F9215862,200 
24167243,90EF2243,2024-06-15,243,00000050F9215863,200 
24167244,90EF2244,2024-06-15,244,00000050F9215864,200 
24167245,90EF2245,2024-06-15,245,00000050F9215865,200 
24167246,90EF2246,2024-06-15,246,00000050F9215866,200 
24167247,90EF2247,2024-06-15,247,00000050F9215867,200 
24169200,90EF4200,2024-06-17,200,00000050F9215868,200 
24169201,90EF4201,2024-06-17,201,00000050F9215869,200 
